Combination,Overlap,Length of Overlap
"(0, 5, 6, 8, 10, 11)","[8, 11, 5, 6]",4
"(0, 5, 6, 9, 10, 11)","[9, 11, 5, 6]",4
"(0, 5, 7, 8, 9, 10)","[8, 9, 5]",3
"(0, 5, 7, 8, 9, 11)","[8, 9, 11, 5]",4
"(0, 5, 7, 8, 10, 11)","[8, 11, 5]",3
"(0, 5, 7, 9, 10, 11)","[9, 11, 5]",3
"(0, 5, 8, 9, 10, 11)","[8, 9, 11, 5]",4
"(0, 6, 7, 8, 9, 10)","[8, 9, 6]",3
"(0, 6, 7, 8, 9, 11)","[8, 9, 11, 6]",4
"(0, 6, 7, 8, 10, 11)","[8, 11, 6]",3
"(0, 6, 7, 9, 10, 11)","[9, 11, 6]",3
"(0, 6, 8, 9, 10, 11)","[8, 9, 11, 6]",4
"(0, 7, 8, 9, 10, 11)","[8, 9, 11]",3
"(1, 2, 3, 4, 5, 6)","[2, 5, 6]",3
"(1, 2, 3, 4, 5, 7)","[2, 5]",2
"(1, 2, 3, 4, 5, 8)","[8, 2, 5]",3
"(1, 2, 3, 4, 5, 9)","[9, 2, 5]",3
"(1, 2, 3, 4, 5, 10)","[2, 5]",2
"(1, 2, 3, 4, 5, 11)","[2, 11, 5]",3
"(1, 2, 3, 4, 6, 7)","[2, 6]",2
"(1, 2, 3, 4, 6, 8)","[8, 2, 6]",3
"(1, 2, 3, 4, 6, 9)","[9, 2, 6]",3
"(1, 2, 3, 4, 6, 10)","[2, 6]",2
"(1, 2, 3, 4, 6, 11)","[2, 11, 6]",3
"(1, 2, 3, 4, 7, 8)","[8, 2]",2
"(1, 2, 3, 4, 7, 9)","[9, 2]",2
"(1, 2, 3, 4, 7, 10)",[2],1
"(1, 2, 3, 4, 7, 11)","[2, 11]",2
"(1, 2, 3, 4, 8, 9)","[8, 9, 2]",3
"(1, 2, 3, 4, 8, 10)","[8, 2]",2
"(1, 2, 3, 4, 8, 11)","[8, 2, 11]",3
"(1, 2, 3, 4, 9, 10)","[9, 2]",2
"(1, 2, 3, 4, 9, 11)","[9, 2, 11]",3
"(1, 2, 3, 4, 10, 11)","[2, 11]",2
"(1, 2, 3, 5, 6, 7)","[2, 5, 6]",3
"(1, 2, 3, 5, 6, 8)","[8, 2, 5, 6]",4
"(1, 2, 3, 5, 6, 9)","[9, 2, 5, 6]",4
"(1, 2, 3, 5, 6, 10)","[2, 5, 6]",3
"(1, 2, 3, 5, 6, 11)","[2, 11, 5, 6]",4
"(1, 2, 3, 5, 7, 8)","[8, 2, 5]",3
"(1, 2, 3, 5, 7, 9)","[9, 2, 5]",3
"(1, 2, 3, 5, 7, 10)","[2, 5]",2
"(1, 2, 3, 5, 7, 11)","[2, 11, 5]",3
"(1, 2, 3, 5, 8, 9)","[8, 9, 2, 5]",4
"(1, 2, 3, 5, 8, 10)","[8, 2, 5]",3
"(1, 2, 3, 5, 8, 11)","[8, 2, 11, 5]",4
"(1, 2, 3, 5, 9, 10)","[9, 2, 5]",3
"(1, 2, 3, 5, 9, 11)","[9, 2, 11, 5]",4
"(1, 2, 3, 5, 10, 11)","[2, 11, 5]",3
"(1, 2, 3, 6, 7, 8)","[8, 2, 6]",3
"(1, 2, 3, 6, 7, 9)","[9, 2, 6]",3
"(1, 2, 3, 6, 7, 10)","[2, 6]",2
"(1, 2, 3, 6, 7, 11)","[2, 11, 6]",3
"(1, 2, 3, 6, 8, 9)","[8, 9, 2, 6]",4
"(1, 2, 3, 6, 8, 10)","[8, 2, 6]",3
"(1, 2, 3, 6, 8, 11)","[8, 2, 11, 6]",4
"(1, 2, 3, 6, 9, 10)","[9, 2, 6]",3
"(1, 2, 3, 6, 9, 11)","[9, 2, 11, 6]",4
"(1, 2, 3, 6, 10, 11)","[2, 11, 6]",3
"(1, 2, 3, 7, 8, 9)","[8, 9, 2]",3
"(1, 2, 3, 7, 8, 10)","[8, 2]",2
"(1, 2, 3, 7, 8, 11)","[8, 2, 11]",3
"(1, 2, 3, 7, 9, 10)","[9, 2]",2
"(1, 2, 3, 7, 9, 11)","[9, 2, 11]",3
"(1, 2, 3, 7, 10, 11)","[2, 11]",2
"(1, 2, 3, 8, 9, 10)","[8, 9, 2]",3
"(1, 2, 3, 8, 9, 11)","[8, 9, 2, 11]",4
"(1, 2, 3, 8, 10, 11)","[8, 2, 11]",3
"(1, 2, 3, 9, 10, 11)","[9, 2, 11]",3
"(1, 2, 4, 5, 6, 7)","[2, 5, 6]",3
"(1, 2, 4, 5, 6, 8)","[8, 2, 5, 6]",4
"(1, 2, 4, 5, 6, 9)","[9, 2, 5, 6]",4
"(1, 2, 4, 5, 6, 10)","[2, 5, 6]",3
"(1, 2, 4, 5, 6, 11)","[2, 11, 5, 6]",4
"(1, 2, 4, 5, 7, 8)","[8, 2, 5]",3
"(1, 2, 4, 5, 7, 9)","[9, 2, 5]",3
"(1, 2, 4, 5, 7, 10)","[2, 5]",2
"(1, 2, 4, 5, 7, 11)","[2, 11, 5]",3
"(1, 2, 4, 5, 8, 9)","[8, 9, 2, 5]",4
"(1, 2, 4, 5, 8, 10)","[8, 2, 5]",3
"(1, 2, 4, 5, 8, 11)","[8, 2, 11, 5]",4
"(1, 2, 4, 5, 9, 10)","[9, 2, 5]",3
"(1, 2, 4, 5, 9, 11)","[9, 2, 11, 5]",4
"(1, 2, 4, 5, 10, 11)","[2, 11, 5]",3
"(1, 2, 4, 6, 7, 8)","[8, 2, 6]",3
"(1, 2, 4, 6, 7, 9)","[9, 2, 6]",3
"(1, 2, 4, 6, 7, 10)","[2, 6]",2
"(1, 2, 4, 6, 7, 11)","[2, 11, 6]",3
"(1, 2, 4, 6, 8, 9)","[8, 9, 2, 6]",4
"(1, 2, 4, 6, 8, 10)","[8, 2, 6]",3
"(1, 2, 4, 6, 8, 11)","[8, 2, 11, 6]",4
"(1, 2, 4, 6, 9, 10)","[9, 2, 6]",3
"(1, 2, 4, 6, 9, 11)","[9, 2, 11, 6]",4
"(1, 2, 4, 6, 10, 11)","[2, 11, 6]",3
"(1, 2, 4, 7, 8, 9)","[8, 9, 2]",3
"(1, 2, 4, 7, 8, 10)","[8, 2]",2
"(1, 2, 4, 7, 8, 11)","[8, 2, 11]",3
"(1, 2, 4, 7, 9, 10)","[9, 2]",2
"(1, 2, 4, 7, 9, 11)","[9, 2, 11]",3
"(1, 2, 4, 7, 10, 11)","[2, 11]",2
"(1, 2, 4, 8, 9, 10)","[8, 9, 2]",3
"(1, 2, 4, 8, 9, 11)","[8, 9, 2, 11]",4
"(1, 2, 4, 8, 10, 11)","[8, 2, 11]",3
"(1, 2, 4, 9, 10, 11)","[9, 2, 11]",3
"(1, 2, 5, 6, 7, 8)","[8, 2, 5, 6]",4
"(1, 2, 5, 6, 7, 9)","[9, 2, 5, 6]",4
"(1, 2, 5, 6, 7, 10)","[2, 5, 6]",3
"(1, 2, 5, 6, 7, 11)","[2, 11, 5, 6]",4
"(1, 2, 5, 6, 8, 9)","[2, 5, 6, 8, 9]",5
"(1, 2, 5, 6, 8, 10)","[8, 2, 5, 6]",4
"(1, 2, 5, 6, 8, 11)","[2, 5, 6, 8, 11]",5
"(1, 2, 5, 6, 9, 10)","[9, 2, 5, 6]",4
"(1, 2, 5, 6, 9, 11)","[2, 5, 6, 9, 11]",5
"(1, 2, 5, 6, 10, 11)","[2, 11, 5, 6]",4
"(1, 2, 5, 7, 8, 9)","[8, 9, 2, 5]",4
"(1, 2, 5, 7, 8, 10)","[8, 2, 5]",3
"(1, 2, 5, 7, 8, 11)","[8, 2, 11, 5]",4
"(1, 2, 5, 7, 9, 10)","[9, 2, 5]",3
"(1, 2, 5, 7, 9, 11)","[9, 2, 11, 5]",4
"(1, 2, 5, 7, 10, 11)","[2, 11, 5]",3
"(1, 2, 5, 8, 9, 10)","[8, 9, 2, 5]",4
"(1, 2, 5, 8, 9, 11)","[2, 5, 8, 9, 11]",5
"(1, 2, 5, 8, 10, 11)","[8, 2, 11, 5]",4
"(1, 2, 5, 9, 10, 11)","[9, 2, 11, 5]",4
"(1, 2, 6, 7, 8, 9)","[8, 9, 2, 6]",4
"(1, 2, 6, 7, 8, 10)","[8, 2, 6]",3
"(1, 2, 6, 7, 8, 11)","[8, 2, 11, 6]",4
"(1, 2, 6, 7, 9, 10)","[9, 2, 6]",3
"(1, 2, 6, 7, 9, 11)","[9, 2, 11, 6]",4
"(1, 2, 6, 7, 10, 11)","[2, 11, 6]",3
"(1, 2, 6, 8, 9, 10)","[8, 9, 2, 6]",4
"(1, 2, 6, 8, 9, 11)","[2, 6, 8, 9, 11]",5
"(1, 2, 6, 8, 10, 11)","[8, 2, 11, 6]",4
"(1, 2, 6, 9, 10, 11)","[9, 2, 11, 6]",4
"(1, 2, 7, 8, 9, 10)","[8, 9, 2]",3
"(1, 2, 7, 8, 9, 11)","[8, 9, 2, 11]",4
"(1, 2, 7, 8, 10, 11)","[8, 2, 11]",3
"(1, 2, 7, 9, 10, 11)","[9, 2, 11]",3
"(1, 2, 8, 9, 10, 11)","[8, 9, 2, 11]",4
"(1, 3, 4, 5, 6, 7)","[5, 6]",2
"(1, 3, 4, 5, 6, 8)","[8, 5, 6]",3
"(1, 3, 4, 5, 6, 9)","[9, 5, 6]",3
"(1, 3, 4, 5, 6, 10)","[5, 6]",2
"(1, 3, 4, 5, 6, 11)","[11, 5, 6]",3
"(1, 3, 4, 5, 7, 8)","[8, 5]",2
"(1, 3, 4, 5, 7, 9)","[9, 5]",2
"(1, 3, 4, 5, 7, 10)",[5],1
"(1, 3, 4, 5, 7, 11)","[11, 5]",2
"(1, 3, 4, 5, 8, 9)","[8, 9, 5]",3
"(1, 3, 4, 5, 8, 10)","[8, 5]",2
"(1, 3, 4, 5, 8, 11)","[8, 11, 5]",3
"(1, 3, 4, 5, 9, 10)","[9, 5]",2
"(1, 3, 4, 5, 9, 11)","[9, 11, 5]",3
"(1, 3, 4, 5, 10, 11)","[11, 5]",2
"(1, 3, 4, 6, 7, 8)","[8, 6]",2
"(1, 3, 4, 6, 7, 9)","[9, 6]",2
"(1, 3, 4, 6, 7, 10)",[6],1
"(1, 3, 4, 6, 7, 11)","[11, 6]",2
"(1, 3, 4, 6, 8, 9)","[8, 9, 6]",3
"(1, 3, 4, 6, 8, 10)","[8, 6]",2
"(1, 3, 4, 6, 8, 11)","[8, 11, 6]",3
"(1, 3, 4, 6, 9, 10)","[9, 6]",2
"(1, 3, 4, 6, 9, 11)","[9, 11, 6]",3
"(1, 3, 4, 6, 10, 11)","[11, 6]",2
"(1, 3, 4, 7, 8, 9)","[8, 9]",2
"(1, 3, 4, 7, 8, 10)",[8],1
"(1, 3, 4, 7, 8, 11)","[8, 11]",2
"(1, 3, 4, 7, 9, 10)",[9],1
"(1, 3, 4, 7, 9, 11)","[9, 11]",2
"(1, 3, 4, 7, 10, 11)",[11],1
"(1, 3, 4, 8, 9, 10)","[8, 9]",2
"(1, 3, 4, 8, 9, 11)","[8, 9, 11]",3
"(1, 3, 4, 8, 10, 11)","[8, 11]",2
"(1, 3, 4, 9, 10, 11)","[9, 11]",2
"(1, 3, 5, 6, 7, 8)","[8, 5, 6]",3
"(1, 3, 5, 6, 7, 9)","[9, 5, 6]",3
"(1, 3, 5, 6, 7, 10)","[5, 6]",2
"(1, 3, 5, 6, 7, 11)","[11, 5, 6]",3
"(1, 3, 5, 6, 8, 9)","[8, 9, 5, 6]",4
"(1, 3, 5, 6, 8, 10)","[8, 5, 6]",3
"(1, 3, 5, 6, 8, 11)","[8, 11, 5, 6]",4
"(1, 3, 5, 6, 9, 10)","[9, 5, 6]",3
"(1, 3, 5, 6, 9, 11)","[9, 11, 5, 6]",4
"(1, 3, 5, 6, 10, 11)","[11, 5, 6]",3
"(1, 3, 5, 7, 8, 9)","[8, 9, 5]",3
"(1, 3, 5, 7, 8, 10)","[8, 5]",2
"(1, 3, 5, 7, 8, 11)","[8, 11, 5]",3
"(1, 3, 5, 7, 9, 10)","[9, 5]",2
"(1, 3, 5, 7, 9, 11)","[9, 11, 5]",3
"(1, 3, 5, 7, 10, 11)","[11, 5]",2
"(1, 3, 5, 8, 9, 10)","[8, 9, 5]",3
"(1, 3, 5, 8, 9, 11)","[8, 9, 11, 5]",4
"(1, 3, 5, 8, 10, 11)","[8, 11, 5]",3
"(1, 3, 5, 9, 10, 11)","[9, 11, 5]",3
"(1, 3, 6, 7, 8, 9)","[8, 9, 6]",3
"(1, 3, 6, 7, 8, 10)","[8, 6]",2
"(1, 3, 6, 7, 8, 11)","[8, 11, 6]",3
"(1, 3, 6, 7, 9, 10)","[9, 6]",2
"(1, 3, 6, 7, 9, 11)","[9, 11, 6]",3
"(1, 3, 6, 7, 10, 11)","[11, 6]",2
"(1, 3, 6, 8, 9, 10)","[8, 9, 6]",3
"(1, 3, 6, 8, 9, 11)","[8, 9, 11, 6]",4
"(1, 3, 6, 8, 10, 11)","[8, 11, 6]",3
"(1, 3, 6, 9, 10, 11)","[9, 11, 6]",3
"(1, 3, 7, 8, 9, 10)","[8, 9]",2
"(1, 3, 7, 8, 9, 11)","[8, 9, 11]",3
"(1, 3, 7, 8, 10, 11)","[8, 11]",2
"(1, 3, 7, 9, 10, 11)","[9, 11]",2
"(1, 3, 8, 9, 10, 11)","[8, 9, 11]",3
"(1, 4, 5, 6, 7, 8)","[8, 5, 6]",3
"(1, 4, 5, 6, 7, 9)","[9, 5, 6]",3
"(1, 4, 5, 6, 7, 10)","[5, 6]",2
"(1, 4, 5, 6, 7, 11)","[11, 5, 6]",3
"(1, 4, 5, 6, 8, 9)","[8, 9, 5, 6]",4
"(1, 4, 5, 6, 8, 10)","[8, 5, 6]",3
"(1, 4, 5, 6, 8, 11)","[8, 11, 5, 6]",4
"(1, 4, 5, 6, 9, 10)","[9, 5, 6]",3
"(1, 4, 5, 6, 9, 11)","[9, 11, 5, 6]",4
"(1, 4, 5, 6, 10, 11)","[11, 5, 6]",3
"(1, 4, 5, 7, 8, 9)","[8, 9, 5]",3
"(1, 4, 5, 7, 8, 10)","[8, 5]",2
"(1, 4, 5, 7, 8, 11)","[8, 11, 5]",3
"(1, 4, 5, 7, 9, 10)","[9, 5]",2
"(1, 4, 5, 7, 9, 11)","[9, 11, 5]",3
"(1, 4, 5, 7, 10, 11)","[11, 5]",2
"(1, 4, 5, 8, 9, 10)","[8, 9, 5]",3
"(1, 4, 5, 8, 9, 11)","[8, 9, 11, 5]",4
"(1, 4, 5, 8, 10, 11)","[8, 11, 5]",3
"(1, 4, 5, 9, 10, 11)","[9, 11, 5]",3
"(1, 4, 6, 7, 8, 9)","[8, 9, 6]",3
"(1, 4, 6, 7, 8, 10)","[8, 6]",2
"(1, 4, 6, 7, 8, 11)","[8, 11, 6]",3
"(1, 4, 6, 7, 9, 10)","[9, 6]",2
"(1, 4, 6, 7, 9, 11)","[9, 11, 6]",3
"(1, 4, 6, 7, 10, 11)","[11, 6]",2
"(1, 4, 6, 8, 9, 10)","[8, 9, 6]",3
"(1, 4, 6, 8, 9, 11)","[8, 9, 11, 6]",4
"(1, 4, 6, 8, 10, 11)","[8, 11, 6]",3
"(1, 4, 6, 9, 10, 11)","[9, 11, 6]",3
"(1, 4, 7, 8, 9, 10)","[8, 9]",2
"(1, 4, 7, 8, 9, 11)","[8, 9, 11]",3
"(1, 4, 7, 8, 10, 11)","[8, 11]",2
"(1, 4, 7, 9, 10, 11)","[9, 11]",2
"(1, 4, 8, 9, 10, 11)","[8, 9, 11]",3
"(1, 5, 6, 7, 8, 9)","[8, 9, 5, 6]",4
"(1, 5, 6, 7, 8, 10)","[8, 5, 6]",3
"(1, 5, 6, 7, 8, 11)","[8, 11, 5, 6]",4
"(1, 5, 6, 7, 9, 10)","[9, 5, 6]",3
"(1, 5, 6, 7, 9, 11)","[9, 11, 5, 6]",4
"(1, 5, 6, 7, 10, 11)","[11, 5, 6]",3
"(1, 5, 6, 8, 9, 10)","[8, 9, 5, 6]",4
"(1, 5, 6, 8, 9, 11)","[5, 6, 8, 9, 11]",5
"(1, 5, 6, 8, 10, 11)","[8, 11, 5, 6]",4
"(1, 5, 6, 9, 10, 11)","[9, 11, 5, 6]",4
"(1, 5, 7, 8, 9, 10)","[8, 9, 5]",3
"(1, 5, 7, 8, 9, 11)","[8, 9, 11, 5]",4
"(1, 5, 7, 8, 10, 11)","[8, 11, 5]",3
"(1, 5, 7, 9, 10, 11)","[9, 11, 5]",3
"(1, 5, 8, 9, 10, 11)","[8, 9, 11, 5]",4
"(1, 6, 7, 8, 9, 10)","[8, 9, 6]",3
"(1, 6, 7, 8, 9, 11)","[8, 9, 11, 6]",4
"(1, 6, 7, 8, 10, 11)","[8, 11, 6]",3
"(1, 6, 7, 9, 10, 11)","[9, 11, 6]",3
"(1, 6, 8, 9, 10, 11)","[8, 9, 11, 6]",4
"(1, 7, 8, 9, 10, 11)","[8, 9, 11]",3
"(2, 3, 4, 5, 6, 7)","[2, 5, 6]",3
"(2, 3, 4, 5, 6, 8)","[8, 2, 5, 6]",4
"(2, 3, 4, 5, 6, 9)","[9, 2, 5, 6]",4
"(2, 3, 4, 5, 6, 10)","[2, 5, 6]",3
"(2, 3, 4, 5, 6, 11)","[2, 11, 5, 6]",4
"(2, 3, 4, 5, 7, 8)","[8, 2, 5]",3
"(2, 3, 4, 5, 7, 9)","[9, 2, 5]",3
"(2, 3, 4, 5, 7, 10)","[2, 5]",2
"(2, 3, 4, 5, 7, 11)","[2, 11, 5]",3
"(2, 3, 4, 5, 8, 9)","[8, 9, 2, 5]",4
"(2, 3, 4, 5, 8, 10)","[8, 2, 5]",3
"(2, 3, 4, 5, 8, 11)","[8, 2, 11, 5]",4
"(2, 3, 4, 5, 9, 10)","[9, 2, 5]",3
"(2, 3, 4, 5, 9, 11)","[9, 2, 11, 5]",4
"(2, 3, 4, 5, 10, 11)","[2, 11, 5]",3
"(2, 3, 4, 6, 7, 8)","[8, 2, 6]",3
"(2, 3, 4, 6, 7, 9)","[9, 2, 6]",3
"(2, 3, 4, 6, 7, 10)","[2, 6]",2
"(2, 3, 4, 6, 7, 11)","[2, 11, 6]",3
"(2, 3, 4, 6, 8, 9)","[8, 9, 2, 6]",4
"(2, 3, 4, 6, 8, 10)","[8, 2, 6]",3
"(2, 3, 4, 6, 8, 11)","[8, 2, 11, 6]",4
"(2, 3, 4, 6, 9, 10)","[9, 2, 6]",3
"(2, 3, 4, 6, 9, 11)","[9, 2, 11, 6]",4
"(2, 3, 4, 6, 10, 11)","[2, 11, 6]",3
"(2, 3, 4, 7, 8, 9)","[8, 9, 2]",3
"(2, 3, 4, 7, 8, 10)","[8, 2]",2
"(2, 3, 4, 7, 8, 11)","[8, 2, 11]",3
"(2, 3, 4, 7, 9, 10)","[9, 2]",2
"(2, 3, 4, 7, 9, 11)","[9, 2, 11]",3
"(2, 3, 4, 7, 10, 11)","[2, 11]",2
"(2, 3, 4, 8, 9, 10)","[8, 9, 2]",3
"(2, 3, 4, 8, 9, 11)","[8, 9, 2, 11]",4
"(2, 3, 4, 8, 10, 11)","[8, 2, 11]",3
"(2, 3, 4, 9, 10, 11)","[9, 2, 11]",3
"(2, 3, 5, 6, 7, 8)","[8, 2, 5, 6]",4
"(2, 3, 5, 6, 7, 9)","[9, 2, 5, 6]",4
"(2, 3, 5, 6, 7, 10)","[2, 5, 6]",3
"(2, 3, 5, 6, 7, 11)","[2, 11, 5, 6]",4
"(2, 3, 5, 6, 8, 9)","[2, 5, 6, 8, 9]",5
"(2, 3, 5, 6, 8, 10)","[8, 2, 5, 6]",4
"(2, 3, 5, 6, 8, 11)","[2, 5, 6, 8, 11]",5
"(2, 3, 5, 6, 9, 10)","[9, 2, 5, 6]",4
"(2, 3, 5, 6, 9, 11)","[2, 5, 6, 9, 11]",5
"(2, 3, 5, 6, 10, 11)","[2, 11, 5, 6]",4
"(2, 3, 5, 7, 8, 9)","[8, 9, 2, 5]",4
"(2, 3, 5, 7, 8, 10)","[8, 2, 5]",3
"(2, 3, 5, 7, 8, 11)","[8, 2, 11, 5]",4
"(2, 3, 5, 7, 9, 10)","[9, 2, 5]",3
"(2, 3, 5, 7, 9, 11)","[9, 2, 11, 5]",4
"(2, 3, 5, 7, 10, 11)","[2, 11, 5]",3
"(2, 3, 5, 8, 9, 10)","[8, 9, 2, 5]",4
"(2, 3, 5, 8, 9, 11)","[2, 5, 8, 9, 11]",5
"(2, 3, 5, 8, 10, 11)","[8, 2, 11, 5]",4
"(2, 3, 5, 9, 10, 11)","[9, 2, 11, 5]",4
"(2, 3, 6, 7, 8, 9)","[8, 9, 2, 6]",4
"(2, 3, 6, 7, 8, 10)","[8, 2, 6]",3
"(2, 3, 6, 7, 8, 11)","[8, 2, 11, 6]",4
"(2, 3, 6, 7, 9, 10)","[9, 2, 6]",3
"(2, 3, 6, 7, 9, 11)","[9, 2, 11, 6]",4
"(2, 3, 6, 7, 10, 11)","[2, 11, 6]",3
"(2, 3, 6, 8, 9, 10)","[8, 9, 2, 6]",4
"(2, 3, 6, 8, 9, 11)","[2, 6, 8, 9, 11]",5
"(2, 3, 6, 8, 10, 11)","[8, 2, 11, 6]",4
"(2, 3, 6, 9, 10, 11)","[9, 2, 11, 6]",4
"(2, 3, 7, 8, 9, 10)","[8, 9, 2]",3
"(2, 3, 7, 8, 9, 11)","[8, 9, 2, 11]",4
"(2, 3, 7, 8, 10, 11)","[8, 2, 11]",3
"(2, 3, 7, 9, 10, 11)","[9, 2, 11]",3
"(2, 3, 8, 9, 10, 11)","[8, 9, 2, 11]",4
"(2, 4, 5, 6, 7, 8)","[8, 2, 5, 6]",4
"(2, 4, 5, 6, 7, 9)","[9, 2, 5, 6]",4
"(2, 4, 5, 6, 7, 10)","[2, 5, 6]",3
"(2, 4, 5, 6, 7, 11)","[2, 11, 5, 6]",4
"(2, 4, 5, 6, 8, 9)","[2, 5, 6, 8, 9]",5
"(2, 4, 5, 6, 8, 10)","[8, 2, 5, 6]",4
"(2, 4, 5, 6, 8, 11)","[2, 5, 6, 8, 11]",5
"(2, 4, 5, 6, 9, 10)","[9, 2, 5, 6]",4
"(2, 4, 5, 6, 9, 11)","[2, 5, 6, 9, 11]",5
"(2, 4, 5, 6, 10, 11)","[2, 11, 5, 6]",4
"(2, 4, 5, 7, 8, 9)","[8, 9, 2, 5]",4
"(2, 4, 5, 7, 8, 10)","[8, 2, 5]",3
"(2, 4, 5, 7, 8, 11)","[8, 2, 11, 5]",4
"(2, 4, 5, 7, 9, 10)","[9, 2, 5]",3
"(2, 4, 5, 7, 9, 11)","[9, 2, 11, 5]",4
"(2, 4, 5, 7, 10, 11)","[2, 11, 5]",3
"(2, 4, 5, 8, 9, 10)","[8, 9, 2, 5]",4
"(2, 4, 5, 8, 9, 11)","[2, 5, 8, 9, 11]",5
"(2, 4, 5, 8, 10, 11)","[8, 2, 11, 5]",4
"(2, 4, 5, 9, 10, 11)","[9, 2, 11, 5]",4
"(2, 4, 6, 7, 8, 9)","[8, 9, 2, 6]",4
"(2, 4, 6, 7, 8, 10)","[8, 2, 6]",3
"(2, 4, 6, 7, 8, 11)","[8, 2, 11, 6]",4
"(2, 4, 6, 7, 9, 10)","[9, 2, 6]",3
"(2, 4, 6, 7, 9, 11)","[9, 2, 11, 6]",4
"(2, 4, 6, 7, 10, 11)","[2, 11, 6]",3
"(2, 4, 6, 8, 9, 10)","[8, 9, 2, 6]",4
"(2, 4, 6, 8, 9, 11)","[2, 6, 8, 9, 11]",5
"(2, 4, 6, 8, 10, 11)","[8, 2, 11, 6]",4
"(2, 4, 6, 9, 10, 11)","[9, 2, 11, 6]",4
"(2, 4, 7, 8, 9, 10)","[8, 9, 2]",3
"(2, 4, 7, 8, 9, 11)","[8, 9, 2, 11]",4
"(2, 4, 7, 8, 10, 11)","[8, 2, 11]",3
"(2, 4, 7, 9, 10, 11)","[9, 2, 11]",3
"(2, 4, 8, 9, 10, 11)","[8, 9, 2, 11]",4
"(2, 5, 6, 7, 8, 9)","[2, 5, 6, 8, 9]",5
"(2, 5, 6, 7, 8, 10)","[8, 2, 5, 6]",4
"(2, 5, 6, 7, 8, 11)","[2, 5, 6, 8, 11]",5
"(2, 5, 6, 7, 9, 10)","[9, 2, 5, 6]",4
"(2, 5, 6, 7, 9, 11)","[2, 5, 6, 9, 11]",5
"(2, 5, 6, 7, 10, 11)","[2, 11, 5, 6]",4
"(2, 5, 6, 8, 9, 10)","[2, 5, 6, 8, 9]",5
"(2, 5, 6, 8, 9, 11)","[2, 5, 6, 8, 9, 11]",6
"(2, 5, 6, 8, 10, 11)","[2, 5, 6, 8, 11]",5
"(2, 5, 6, 9, 10, 11)","[2, 5, 6, 9, 11]",5
"(2, 5, 7, 8, 9, 10)","[8, 9, 2, 5]",4
"(2, 5, 7, 8, 9, 11)","[2, 5, 8, 9, 11]",5
"(2, 5, 7, 8, 10, 11)","[8, 2, 11, 5]",4
"(2, 5, 7, 9, 10, 11)","[9, 2, 11, 5]",4
"(2, 5, 8, 9, 10, 11)","[2, 5, 8, 9, 11]",5
"(2, 6, 7, 8, 9, 10)","[8, 9, 2, 6]",4
"(2, 6, 7, 8, 9, 11)","[2, 6, 8, 9, 11]",5
"(2, 6, 7, 8, 10, 11)","[8, 2, 11, 6]",4
"(2, 6, 7, 9, 10, 11)","[9, 2, 11, 6]",4
"(2, 6, 8, 9, 10, 11)","[2, 6, 8, 9, 11]",5
"(2, 7, 8, 9, 10, 11)","[8, 9, 2, 11]",4
"(3, 4, 5, 6, 7, 8)","[8, 5, 6]",3
"(3, 4, 5, 6, 7, 9)","[9, 5, 6]",3
"(3, 4, 5, 6, 7, 10)","[5, 6]",2
"(3, 4, 5, 6, 7, 11)","[11, 5, 6]",3
"(3, 4, 5, 6, 8, 9)","[8, 9, 5, 6]",4
"(3, 4, 5, 6, 8, 10)","[8, 5, 6]",3
"(3, 4, 5, 6, 8, 11)","[8, 11, 5, 6]",4
"(3, 4, 5, 6, 9, 10)","[9, 5, 6]",3
"(3, 4, 5, 6, 9, 11)","[9, 11, 5, 6]",4
"(3, 4, 5, 6, 10, 11)","[11, 5, 6]",3
"(3, 4, 5, 7, 8, 9)","[8, 9, 5]",3
"(3, 4, 5, 7, 8, 10)","[8, 5]",2
"(3, 4, 5, 7, 8, 11)","[8, 11, 5]",3
"(3, 4, 5, 7, 9, 10)","[9, 5]",2
"(3, 4, 5, 7, 9, 11)","[9, 11, 5]",3
"(3, 4, 5, 7, 10, 11)","[11, 5]",2
"(3, 4, 5, 8, 9, 10)","[8, 9, 5]",3
"(3, 4, 5, 8, 9, 11)","[8, 9, 11, 5]",4
"(3, 4, 5, 8, 10, 11)","[8, 11, 5]",3
"(3, 4, 5, 9, 10, 11)","[9, 11, 5]",3
"(3, 4, 6, 7, 8, 9)","[8, 9, 6]",3
"(3, 4, 6, 7, 8, 10)","[8, 6]",2
"(3, 4, 6, 7, 8, 11)","[8, 11, 6]",3
"(3, 4, 6, 7, 9, 10)","[9, 6]",2
"(3, 4, 6, 7, 9, 11)","[9, 11, 6]",3
"(3, 4, 6, 7, 10, 11)","[11, 6]",2
"(3, 4, 6, 8, 9, 10)","[8, 9, 6]",3
"(3, 4, 6, 8, 9, 11)","[8, 9, 11, 6]",4
"(3, 4, 6, 8, 10, 11)","[8, 11, 6]",3
"(3, 4, 6, 9, 10, 11)","[9, 11, 6]",3
"(3, 4, 7, 8, 9, 10)","[8, 9]",2
"(3, 4, 7, 8, 9, 11)","[8, 9, 11]",3
"(3, 4, 7, 8, 10, 11)","[8, 11]",2
"(3, 4, 7, 9, 10, 11)","[9, 11]",2
"(3, 4, 8, 9, 10, 11)","[8, 9, 11]",3
"(3, 5, 6, 7, 8, 9)","[8, 9, 5, 6]",4
